antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'other vegetables'}),frozenset({'curd'}),0.3766033863519754,0.12083119548486403,0.05156490507952796,0.1369209809264305,1.1331592009580174,0.006059467682970651,1.018642308625272,0.18850193477059146
frozenset({'curd'}),frozenset({'other vegetables'}),0.12083119548486403,0.3766033863519754,0.05156490507952796,0.4267515923566879,1.1331592009580174,0.006059467682970651,1.0874807593637763,0.1336620080223336
frozenset({'rolls/buns'}),frozenset({'curd'}),0.3496664956387891,0.12083119548486403,0.05002565418163161,0.1430667644900954,1.1840217579243988,0.00777503349259373,1.02594784294018,0.23898649673797634
frozenset({'curd'}),frozenset({'rolls/buns'}),0.12083119548486403,0.3496664956387891,0.05002565418163161,0.4140127388535032,1.1840217579243988,0.00777503349259373,1.1098082628772838,0.176781665955871
frozenset({'whole milk'}),frozenset({'curd'}),0.4581836839404823,0.12083119548486403,0.06362237044638276,0.13885778275475924,1.149188189337689,0.008259488164195188,1.020933345165171,0.23960242546432062
frozenset({'curd'}),frozenset({'whole milk'}),0.12083119548486403,0.4581836839404823,0.06362237044638276,0.5265392781316348,1.149188189337689,0.008259488164195188,1.1443743715875914,0.14766277285691426
frozenset({'other vegetables'}),frozenset({'domestic eggs'}),0.3766033863519754,0.1331452026680349,0.05438686505900462,0.1444141689373297,1.0846366676641832,0.00424393085770261,1.0131710529325835,0.12517276186039283
frozenset({'domestic eggs'}),frozenset({'other vegetables'}),0.1331452026680349,0.3766033863519754,0.05438686505900462,0.40847784200385356,1.0846366676641834,0.00424393085770261,1.0538854804017093,0.09001770089397886
frozenset({'domestic eggs'}),frozenset({'rolls/buns'}),0.1331452026680349,0.3496664956387891,0.052591072344792204,0.394990366088632,1.1296202839423972,0.00603465591674409,1.0749142954250588,0.13237139000570244
frozenset({'rolls/buns'}),frozenset({'domestic eggs'}),0.3496664956387891,0.1331452026680349,0.052591072344792204,0.15040352164343362,1.1296202839423974,0.00603465591674409,1.0203135481549814,0.1764429691634196
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331452026680349,0.4581836839404823,0.07029245767060031,0.5279383429672447,1.152241691425711,0.009287498213157955,1.1477659919791416,0.15242059694592844
frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.4581836839404823,0.1331452026680349,0.07029245767060031,0.15341545352743563,1.1522416914257112,0.009287498213157955,1.0239435635151388,0.2438585213448353
frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.3766033863519754,0.1375064135454079,0.061056952283222166,0.16212534059945505,1.1790383911505145,0.009271571296906408,1.029382589362066,0.24358681744302643
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.1375064135454079,0.3766033863519754,0.061056952283222166,0.44402985074626866,1.1790383911505145,0.009271571296906408,1.1212771305883933,0.1760606681697068
